#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 14 08 19 149  2.9  4.2  0.90  7.31 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2008 03 14 09 19 179  3.0  5.4  0.93  7.76 99.00 999 9999.0  15.4 999.0 999.0 99.0 99.00
2008 03 14 10 19 208  3.1 16.0  1.02  7.53 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 03 14 11 19 194  2.3  3.4  1.24  7.31 99.00 999 9999.0  14.8 999.0 999.0 99.0 99.00
2008 03 14 12 19 189  2.4  4.1  1.35  7.76 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 14 13 19 166  1.9  3.3  1.39  8.00 99.00 999 9999.0  14.2 999.0 999.0 99.0 99.00
2008 03 14 14 19 162  1.9  3.9  1.24  8.00 99.00 999 9999.0  14.2 999.0 999.0 99.0 99.00
2008 03 14 15 19 182  2.7  4.2 99.00 99.00 99.00 999 9999.0  14.7 999.0 999.0 99.0 99.00
2008 03 14 16 19 195  4.2  6.3  1.25  7.53 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2008 03 14 17 19 209  4.0  6.0  1.17  7.76 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2008 03 14 18 19 212  5.7 29.0  1.17  8.00 99.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2008 03 14 19 19 219  6.4  8.7  1.19  7.76 99.00 999 9999.0  15.3 999.0 999.0 99.0 99.00
2008 03 14 20 19 212  5.7  7.5  1.24  8.00 99.00 999 9999.0  15.3 999.0 999.0 99.0 99.00
2008 03 14 21 19 245  3.3  5.8  1.29  8.26 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2008 03 14 22 19 271  4.8  6.3  1.29  8.26 99.00 999 9999.0  14.8 999.0 999.0 99.0 99.00
